commodity,timestamp,open,high,low,close
XAU/USD,2025-10-18 12:00:00,4242.7,4245.7,4239.44,4241.72
XAU/USD,2025-10-18 12:15:00,4241.71,4242.63,4240.24,4241.83
XAU/USD,2025-10-18 12:30:00,4241.83,4246.76,4241.7,4244.73
XAU/USD,2025-10-18 12:45:00,4244.73,4245.12,4240.2,4240.5
XAU/USD,2025-10-18 13:00:00,4240.51,4243.58,4238.46,4240.97
XAU/USD,2025-10-18 13:15:00,4240.97,4249.88,4240.96,4249.88
XAU/USD,2025-10-18 13:30:00,4249.87,4253.65,4241.09,4243.28
XAU/USD,2025-10-18 13:45:00,4243.27,4249.96,4243.27,4248.3
XAU/USD,2025-10-18 14:00:00,4248.3,4251.23,4245.37,4245.37
XAU/USD,2025-10-18 14:15:00,4245.37,4245.57,4241.84,4243.86
XAU/USD,2025-10-18 14:30:00,4243.7,4243.7,4239.0,4240.83
XAU/USD,2025-10-18 14:45:00,4240.83,4247.27,4240.83,4246.44
XAU/USD,2025-10-18 15:00:00,4246.44,4246.44,4240.1,4241.64
XAU/USD,2025-10-18 15:15:00,4241.64,4247.03,4241.63,4247.03
XAU/USD,2025-10-18 15:30:00,4247.03,4250.75,4247.02,4250.04
XAU/USD,2025-10-18 15:45:00,4250.03,4252.53,4246.86,4246.87
XAU/USD,2025-10-18 16:00:00,4246.87,4250.11,4240.68,4242.96
XAU/USD,2025-10-18 16:15:00,4242.96,4248.05,4242.88,4248.05
XAU/USD,2025-10-18 16:30:00,4248.05,4248.05,4238.65,4243.36
XAU/USD,2025-10-18 16:45:00,4243.35,4244.43,4237.61,4242.3
XAU/USD,2025-10-18 17:00:00,4241.39,4243.16,4239.17,4240.4
XAU/USD,2025-10-18 17:15:00,4240.4,4241.0,4239.1,4240.0
XAU/USD,2025-10-18 17:30:00,4240.01,4241.42,4237.29,4238.5
XAU/USD,2025-10-18 17:45:00,4238.5,4239.0,4234.8,4236.44
XAU/USD,2025-10-18 18:00:00,4236.44,4236.59,4226.0,4229.13
XAU/USD,2025-10-18 18:15:00,4229.13,4236.01,4229.13,4234.59
XAU/USD,2025-10-18 18:30:00,4234.59,4236.6,4231.51,4234.96
XAU/USD,2025-10-18 18:45:00,4234.96,4235.41,4231.7,4235.41
XAU/USD,2025-10-18 19:00:00,4235.41,4241.88,4235.4,4238.1
XAU/USD,2025-10-18 19:15:00,4237.88,4241.83,4237.87,4240.1
XAU/USD,2025-10-18 19:30:00,4240.1,4242.0,4240.0,4240.27
XAU/USD,2025-10-18 19:45:00,4240.26,4241.9,4237.96,4237.96
XAU/USD,2025-10-18 20:00:00,4237.97,4240.01,4236.03,4236.5
XAU/USD,2025-10-18 20:15:00,4236.5,4239.21,4236.0,4239.2
XAU/USD,2025-10-18 20:30:00,4239.2,4248.01,4239.19,4247.63
XAU/USD,2025-10-18 20:45:00,4247.64,4250.0,4242.91,4244.6
XAU/USD,2025-10-18 21:00:00,4244.6,4245.35,4240.03,4241.59
XAU/USD,2025-10-18 21:15:00,4241.58,4243.38,4241.01,4241.43
XAU/USD,2025-10-18 21:30:00,4241.42,4249.66,4241.42,4248.0
XAU/USD,2025-10-18 21:45:00,4248.01,4248.59,4240.14,4240.14
XAU/USD,2025-10-18 22:00:00,4240.15,4243.88,4240.11,4243.57
XAU/USD,2025-10-18 22:15:00,4243.57,4244.23,4240.9,4240.91
XAU/USD,2025-10-18 22:30:00,4240.91,4241.16,4239.01,4240.68
XAU/USD,2025-10-18 22:45:00,4240.68,4241.65,4237.47,4238.43
XAU/USD,2025-10-18 23:00:00,4238.43,4242.36,4234.78,4240.53
XAU/USD,2025-10-18 23:15:00,4239.0,4239.0,4237.68,4238.99
XAU/USD,2025-10-18 23:30:00,4239.0,4239.0,4234.84,4237.15
XAU/USD,2025-10-18 23:45:00,4237.14,4241.77,4237.14,4237.99
XAU/USD,2025-10-20 08:45:00,4231.0,4232.32,4231.0,4231.96
XAU/USD,2025-10-20 09:00:00,4231.95,4259.0,4231.95,4254.87
XAU/USD,2025-10-20 09:15:00,4254.87,4265.0,4254.12,4258.95
XAU/USD,2025-10-20 09:30:00,4258.95,4260.49,4245.78,4256.99
XAU/USD,2025-10-20 09:45:00,4256.99,4261.59,4254.63,4256.69
XAU/USD,2025-10-20 10:00:00,4256.8,4260.18,4245.88,4247.77
XAU/USD,2025-10-20 10:15:00,4247.77,4250.9,4242.51,4246.73
XAU/USD,2025-10-20 10:30:00,4246.74,4250.0,4245.43,4248.38
XAU/USD,2025-10-20 10:45:00,4248.38,4248.38,4238.47,4242.46
XAU/USD,2025-10-20 11:00:00,4242.34,4242.34,4221.0,4222.67
XAU/USD,2025-10-20 11:15:00,4222.67,4233.17,4214.16,4216.44
XAU/USD,2025-10-20 11:30:00,4218.81,4240.79,4218.81,4235.76
XAU/USD,2025-10-20 11:45:00,4235.69,4247.11,4235.55,4246.05
XAU/USD,2025-10-20 12:00:00,4246.04,4246.57,4218.75,4244.41
XAU/USD,2025-10-20 12:15:00,4244.41,4256.46,4241.56,4255.92
XAU/USD,2025-10-20 12:30:00,4255.92,4256.6,4246.25,4256.6
XAU/USD,2025-10-20 12:45:00,4256.63,4263.0,4256.26,4260.0
XAU/USD,2025-10-20 13:00:00,4259.99,4265.0,4256.41,4261.87
XAU/USD,2025-10-20 13:15:00,4261.86,4264.56,4258.31,4264.56
XAU/USD,2025-10-20 13:30:00,4264.66,4272.5,4261.73,4261.75
XAU/USD,2025-10-20 13:45:00,4261.76,4263.36,4255.0,4256.34
XAU/USD,2025-10-20 14:00:00,4256.4,4259.02,4252.84,4255.54
XAU/USD,2025-10-20 14:15:00,4255.54,4262.64,4252.43,4255.45
XAU/USD,2025-10-20 14:30:00,4255.45,4258.27,4250.6,4258.0
XAU/USD,2025-10-20 14:45:00,4258.0,4264.11,4257.18,4263.75
XAU/USD,2025-10-20 15:00:00,4260.77,4265.99,4250.53,4260.95
XAU/USD,2025-10-20 15:15:00,4260.95,4262.79,4258.79,4262.49
XAU/USD,2025-10-20 15:30:00,4262.49,4268.29,4261.48,4266.91
XAU/USD,2025-10-20 15:45:00,4266.91,4267.43,4264.62,4265.5
XAU/USD,2025-10-20 16:00:00,4265.5,4265.5,4258.23,4261.4
XAU/USD,2025-10-20 16:15:00,4261.5,4263.08,4246.29,4252.84
XAU/USD,2025-10-20 16:30:00,4252.85,4257.09,4248.48,4252.23
XAU/USD,2025-10-20 16:45:00,4252.4,4253.88,4237.29,4237.29
XAU/USD,2025-10-20 17:00:00,4237.29,4241.72,4228.81,4239.77
XAU/USD,2025-10-20 17:15:00,4239.78,4242.06,4223.08,4223.08
XAU/USD,2025-10-20 17:30:00,4223.01,4235.9,4220.16,4231.02
XAU/USD,2025-10-20 17:45:00,4230.92,4232.74,4226.3,4231.1
XAU/USD,2025-10-20 18:00:00,4230.88,4248.27,4229.01,4246.17
XAU/USD,2025-10-20 18:15:00,4246.16,4253.29,4246.16,4247.33
XAU/USD,2025-10-20 18:30:00,4247.33,4251.92,4240.65,4250.32
XAU/USD,2025-10-20 18:45:00,4250.32,4250.88,4245.0,4245.67
XAU/USD,2025-10-20 19:00:00,4245.66,4251.33,4244.16,4249.94
XAU/USD,2025-10-20 19:15:00,4249.93,4250.11,4241.69,4248.24
XAU/USD,2025-10-20 19:30:00,4247.4,4252.34,4243.42,4245.92
XAU/USD,2025-10-20 19:45:00,4245.91,4246.67,4237.31,4244.39
XAU/USD,2025-10-20 20:00:00,4244.39,4245.24,4238.47,4239.29
XAU/USD,2025-10-20 20:15:00,4239.29,4244.46,4238.76,4243.67
XAU/USD,2025-10-20 20:30:00,4243.67,4247.22,4240.23,4247.21
XAU/USD,2025-10-20 20:45:00,4247.21,4252.3,4247.21,4249.59
XAU/USD,2025-10-20 21:00:00,4249.6,4249.6,4237.29,4244.46
XAU/USD,2025-10-20 21:15:00,4244.3,4251.0,4244.3,4250.82
XAU/USD,2025-10-20 21:30:00,4250.82,4253.6,4248.49,4252.8
XAU/USD,2025-10-20 21:45:00,4252.8,4253.69,4250.45,4251.57
XAU/USD,2025-10-20 22:00:00,4251.56,4252.74,4246.64,4251.07
XAU/USD,2025-10-20 22:15:00,4251.07,4256.69,4250.38,4255.31
XAU/USD,2025-10-20 22:30:00,4255.32,4258.17,4253.5,4255.89
XAU/USD,2025-10-20 22:45:00,4255.88,4269.42,4254.4,4269.17
XAU/USD,2025-10-20 23:00:00,4269.18,4278.44,4265.84,4276.46
XAU/USD,2025-10-20 23:15:00,4276.46,4294.24,4273.21,4290.89
XAU/USD,2025-10-20 23:30:00,4290.9,4320.0,4289.39,4318.49
XAU/USD,2025-10-20 23:45:00,4318.48,4326.98,4309.59,4325.14
XAU/USD,2025-10-21 00:00:00,4325.14,4327.13,4315.42,4321.84
XAU/USD,2025-10-21 00:15:00,4321.83,4327.97,4318.18,4321.0
XAU/USD,2025-10-21 00:30:00,4321.01,4321.49,4298.12,4304.34
XAU/USD,2025-10-21 00:45:00,4304.34,4321.3,4294.0,4296.8
XAU/USD,2025-10-21 01:00:00,4296.91,4310.25,4281.5,4310.0
XAU/USD,2025-10-21 01:15:00,4310.0,4323.23,4309.95,4315.62
