crypto,timestamp,open,high,low,close
BTC/USD,2025-10-15 07:45:00,112492.18,112672.5,112441.07,112642.34
BTC/USD,2025-10-15 08:00:00,112633.69,112977.91,112585.21,112961.84
BTC/USD,2025-10-15 08:15:00,112961.84,113226.85,112907.52,113182.08
BTC/USD,2025-10-15 08:30:00,113182.07,113564.0,113160.97,113273.59
BTC/USD,2025-10-15 08:45:00,113273.6,113279.53,112944.95,113013.13
BTC/USD,2025-10-15 09:00:00,113013.12,113189.11,112872.33,113022.1
BTC/USD,2025-10-15 09:15:00,113022.1,113046.94,112548.49,112666.83
BTC/USD,2025-10-15 09:30:00,112665.16,112731.25,112449.92,112611.76
BTC/USD,2025-10-15 09:45:00,112611.76,112780.79,112464.01,112618.04
BTC/USD,2025-10-15 10:00:00,112618.04,112721.01,112379.53,112644.04
BTC/USD,2025-10-15 10:15:00,112644.03,112668.15,112376.01,112475.8
BTC/USD,2025-10-15 10:30:00,112469.62,112553.92,112147.21,112408.84
BTC/USD,2025-10-15 10:45:00,112407.1,112476.77,112230.52,112346.01
BTC/USD,2025-10-15 11:00:00,112339.84,112697.67,112318.9,112353.02
BTC/USD,2025-10-15 11:15:00,112353.02,112379.52,111747.77,112140.27
BTC/USD,2025-10-15 11:30:00,112140.26,112216.73,111968.1,112198.0
BTC/USD,2025-10-15 11:45:00,112198.16,112203.14,111946.69,112000.01
BTC/USD,2025-10-15 12:00:00,112000.0,112184.57,111868.01,112073.18
BTC/USD,2025-10-15 12:15:00,112073.18,112117.81,111446.0,111572.0
BTC/USD,2025-10-15 12:30:00,111566.01,111785.97,111472.19,111688.03
BTC/USD,2025-10-15 12:45:00,111682.88,111912.3,111636.01,111790.38
BTC/USD,2025-10-15 13:00:00,111790.37,111790.37,111438.99,111559.85
BTC/USD,2025-10-15 13:15:00,111559.45,111707.79,111472.01,111519.99
BTC/USD,2025-10-15 13:30:00,111516.0,112088.1,111267.47,111399.81
BTC/USD,2025-10-15 13:45:00,111399.81,111575.95,110800.0,111460.64
BTC/USD,2025-10-15 14:00:00,111461.2,112322.49,111449.03,112117.12
BTC/USD,2025-10-15 14:15:00,112119.92,112282.34,111892.48,112011.25
BTC/USD,2025-10-15 14:30:00,112011.25,112033.02,111289.82,111385.98
BTC/USD,2025-10-15 14:45:00,111385.99,111422.74,110890.02,111146.5
BTC/USD,2025-10-15 15:00:00,111143.83,111365.44,110811.49,110916.89
BTC/USD,2025-10-15 15:15:00,110916.9,111662.28,110635.55,111258.01
BTC/USD,2025-10-15 15:30:00,111259.15,111448.16,110643.01,110794.53
BTC/USD,2025-10-15 15:45:00,110794.53,110876.73,110429.41,110867.71
BTC/USD,2025-10-15 16:00:00,110864.01,111200.0,110664.87,110988.44
BTC/USD,2025-10-15 16:15:00,110991.99,111137.99,110756.26,111038.34
BTC/USD,2025-10-15 16:30:00,111038.35,111107.38,110681.93,110760.16
BTC/USD,2025-10-15 16:45:00,110760.16,110924.0,110656.0,110809.96
BTC/USD,2025-10-15 17:00:00,110809.96,110827.5,110282.82,110314.47
BTC/USD,2025-10-15 17:15:00,110314.47,110711.08,110185.87,110462.83
BTC/USD,2025-10-15 17:30:00,110461.16,110795.06,110282.0,110771.99
