bond,timestamp,yield
US2Y,2025-10-22 15:00:00,3.4423
US2Y,2025-10-22 15:15:00,3.4444
US2Y,2025-10-22 15:30:00,3.4444
US2Y,2025-10-23 09:30:00,3.4633
US2Y,2025-10-23 09:45:00,3.4696
US2Y,2025-10-23 10:00:00,3.4696
US2Y,2025-10-23 10:15:00,3.4654
US2Y,2025-10-23 10:30:00,3.4654
US2Y,2025-10-23 10:45:00,3.4654
US2Y,2025-10-23 11:00:00,3.4675
US2Y,2025-10-23 11:15:00,3.4717
US2Y,2025-10-23 11:30:00,3.4717
US2Y,2025-10-23 11:45:00,3.4717
US2Y,2025-10-23 12:00:00,3.4759
US2Y,2025-10-23 12:15:00,3.4759
US2Y,2025-10-23 12:30:00,3.4759
US2Y,2025-10-23 12:45:00,3.4759
US2Y,2025-10-23 13:00:00,3.478
US2Y,2025-10-23 13:15:00,3.4801
US2Y,2025-10-23 13:30:00,3.4822
US2Y,2025-10-23 13:45:00,3.4801
US2Y,2025-10-23 14:00:00,3.4801
US2Y,2025-10-23 14:15:00,3.4801
US2Y,2025-10-23 14:30:00,3.4822
US2Y,2025-10-23 14:45:00,3.4822
US2Y,2025-10-23 15:00:00,3.4865
US2Y,2025-10-23 15:15:00,3.4865
US2Y,2025-10-23 15:30:00,3.4886
US2Y,2025-10-23 15:45:00,3.4886
US2Y,2025-10-24 09:30:00,3.4736
US2Y,2025-10-24 09:45:00,3.4842
US2Y,2025-10-24 10:00:00,3.4757
US2Y,2025-10-24 10:15:00,3.4694
US2Y,2025-10-24 10:30:00,3.4673
US2Y,2025-10-24 10:45:00,3.4715
US2Y,2025-10-24 11:00:00,3.4736
US2Y,2025-10-24 11:15:00,3.4736
US2Y,2025-10-24 11:30:00,3.4799
US2Y,2025-10-24 11:45:00,3.482
US2Y,2025-10-24 12:00:00,3.4799
US2Y,2025-10-24 12:15:00,3.4799
US2Y,2025-10-24 12:30:00,3.482
US2Y,2025-10-24 12:45:00,3.4799
US2Y,2025-10-24 13:00:00,3.4799
US2Y,2025-10-24 13:15:00,3.4778
US2Y,2025-10-24 13:30:00,3.4778
US2Y,2025-10-24 13:45:00,3.4778
US2Y,2025-10-24 14:15:00,3.482
US2Y,2025-10-24 14:30:00,3.482
US2Y,2025-10-24 14:45:00,3.4842
US2Y,2025-10-24 15:00:00,3.482
US2Y,2025-10-24 15:15:00,3.4842
US2Y,2025-10-24 15:30:00,3.4799
US2Y,2025-10-24 15:45:00,3.4778
US2Y,2025-10-27 09:30:00,3.5095
US2Y,2025-10-27 09:45:00,3.5158
US2Y,2025-10-27 10:00:00,3.5158
US2Y,2025-10-27 10:15:00,3.5074
US2Y,2025-10-27 10:30:00,3.5116
US2Y,2025-10-27 10:45:00,3.5095
US2Y,2025-10-27 11:00:00,3.5158
US2Y,2025-10-27 11:15:00,3.5116
US2Y,2025-10-27 11:30:00,3.5137
US2Y,2025-10-27 11:45:00,3.5116
US2Y,2025-10-27 12:00:00,3.5095
US2Y,2025-10-27 12:15:00,3.5095
US2Y,2025-10-27 12:30:00,3.5074
US2Y,2025-10-27 12:45:00,3.5095
US2Y,2025-10-27 13:00:00,3.5032
US2Y,2025-10-27 13:15:00,3.5053
